police_report_number,jurisdiction,incident_summary,reported_offense,loss_amount_usd
PR-RIV-2024-1118,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@riverdalepolice.gov.",Ransomware Hostage,69000
PR-MET-2024-1119,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@metropolispolice.gov.",Corporate Email Compromise,36575
PR-RIV-2024-1120,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,17221
PR-STA-2024-1121,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,42736
PR-CEN-2024-1122,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,33738
PR-MET-2024-1123,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,56213
PR-STA-2024-1124,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,89831
PR-STA-2024-1125,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,40029
PR-RIV-2024-1126,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,23207
PR-CEN-2024-1127,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,39551
PR-CEN-2024-1128,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,52759
PR-CEN-2024-1129,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,59392
PR-GOT-2024-1130,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,65566
PR-RIV-2024-1131,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@riverdalepolice.gov.,DDoS Attack on School Portal,86616
PR-STA-2024-1132,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,8557
PR-CEN-2024-1133,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,95318
PR-GOT-2024-1134,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,68115
PR-STA-2024-1135,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,45356
PR-GOT-2024-1136,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,76001
PR-GOT-2024-1137,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,18090
PR-STA-2024-1138,Star City Cyber Crime Unit,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",Corporate Email Compromise,17443
PR-GOT-2024-1139,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,63732
PR-CEN-2024-1140,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,26124
PR-RIV-2024-1141,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,37459
PR-RIV-2024-1142,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,38608
PR-GOT-2024-1143,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,1320
PR-GOT-2024-1144,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,14475
PR-GOT-2024-1145,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,99527
PR-CEN-2024-1146,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,49875
PR-STA-2024-1147,Star City Cyber Crime Unit,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",Corporate Email Compromise,19398
PR-STA-2024-1148,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,75095
PR-MET-2024-1149,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,57256
PR-STA-2024-1150,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,25832
PR-STA-2024-1151,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,93320
PR-MET-2024-1152,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,7833
PR-CEN-2024-1153,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,8980
PR-RIV-2024-1154,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@riverdalepolice.gov.",Identity Theft / Bank Loan,33754
PR-CEN-2024-1155,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,87209
PR-RIV-2024-1156,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,77720
PR-RIV-2024-1157,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@riverdalepolice.gov.,DDoS Attack on School Portal,6630
PR-STA-2024-1158,Star City Cyber Crime Unit,"[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.",Ransomware Hostage,35019
PR-GOT-2024-1159,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,76887
PR-MET-2024-1160,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,39809
PR-STA-2024-1161,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,73348
PR-GOT-2024-1162,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,59137
PR-GOT-2024-1163,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,14384
PR-MET-2024-1164,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,15868
PR-GOT-2024-1165,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,77600
PR-STA-2024-1166,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,34265
PR-CEN-2024-1167,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,3838
PR-CEN-2024-1168,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,92636
PR-MET-2024-1169,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,86821
PR-GOT-2024-1170,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,42371
PR-CEN-2024-1171,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,29156
PR-MET-2024-1172,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,41745
PR-STA-2024-1173,Star City Cyber Crime Unit,"[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.",Ransomware Hostage,94615
PR-STA-2024-1174,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,13925
PR-GOT-2024-1175,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,72529
PR-GOT-2024-1176,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,62868
PR-CEN-2024-1177,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,32689
PR-CEN-2024-1178,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,25788
PR-STA-2024-1179,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,83602
PR-GOT-2024-1180,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,27861
PR-MET-2024-1181,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@metropolispolice.gov.",Corporate Email Compromise,34971
PR-RIV-2024-1182,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@riverdalepolice.gov.",Ransomware Hostage,63613
PR-RIV-2024-1183,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@riverdalepolice.gov.,DDoS Attack on School Portal,15284
PR-MET-2024-1184,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,99428
PR-GOT-2024-1185,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,3298
PR-CEN-2024-1186,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,89186
PR-CEN-2024-1187,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,52776
PR-RIV-2024-1188,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,26030
PR-CEN-2024-1189,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,71749
PR-STA-2024-1190,Star City Cyber Crime Unit,"[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.",Ransomware Hostage,49569
PR-CEN-2024-1191,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,50268
PR-MET-2024-1192,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,39844
PR-GOT-2024-1193,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,10504
PR-CEN-2024-1194,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,2167
PR-RIV-2024-1195,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@riverdalepolice.gov.,DDoS Attack on School Portal,93092
PR-RIV-2024-1196,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,93565
PR-RIV-2024-1197,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@riverdalepolice.gov.",Identity Theft / Bank Loan,42380
PR-STA-2024-1198,Star City Cyber Crime Unit,"[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.",Ransomware Hostage,33553
PR-MET-2024-1199,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,87364
PR-GOT-2024-1200,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,27519
PR-CEN-2024-1201,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,87014
PR-MET-2024-1202,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,26639
PR-STA-2024-1203,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,21044
PR-MET-2024-1204,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,73061
PR-STA-2024-1205,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,66020
PR-CEN-2024-1206,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,61157
PR-MET-2024-1207,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,77362
PR-RIV-2024-1208,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@riverdalepolice.gov.,DDoS Attack on School Portal,27008
PR-CEN-2024-1209,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,92356
PR-MET-2024-1210,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,29219
PR-MET-2024-1211,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@metropolispolice.gov.",Corporate Email Compromise,81426
PR-CEN-2024-1212,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,27859
PR-CEN-2024-1213,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,54839
PR-GOT-2024-1214,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,68490
PR-RIV-2024-1215,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,75560
PR-CEN-2024-1216,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,90629
PR-GOT-2024-1217,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,5573
PR-GOT-2024-1218,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,94175
PR-GOT-2024-1219,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,29684
PR-RIV-2024-1220,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@riverdalepolice.gov.",Identity Theft / Bank Loan,42752
PR-RIV-2024-1221,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,82185
PR-CEN-2024-1222,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,21974
PR-MET-2024-1223,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@metropolispolice.gov.",Corporate Email Compromise,48121
PR-CEN-2024-1224,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,73800
PR-STA-2024-1225,Star City Cyber Crime Unit,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",Corporate Email Compromise,58594
PR-GOT-2024-1226,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,21699
PR-GOT-2024-1227,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,2743
PR-MET-2024-1228,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,85654
PR-GOT-2024-1229,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,36992
PR-GOT-2024-1230,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,63762
PR-MET-2024-1231,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,73278
PR-CEN-2024-1232,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,59017
PR-RIV-2024-1233,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@riverdalepolice.gov.",Ransomware Hostage,96017
PR-MET-2024-1234,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@metropolispolice.gov.",Corporate Email Compromise,75038
PR-MET-2024-1235,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,70487
